fecha,producto,region,ventas,cantidad,precio_unitario
2024-01-01,Laptop,Madrid,15000,3,5000
2024-01-02,Monitor,Barcelona,8000,4,2000
2024-01-03,Teclado,Valencia,1200,12,100
2024-01-04,Mouse,Madrid,800,16,50
2024-01-05,Auriculares,Barcelona,2400,8,300
2024-01-06,Webcam,Valencia,1800,6,300
2024-01-07,Impresora,Madrid,12000,2,6000
2024-01-08,Tablet,Barcelona,9000,3,3000
2024-01-09,Smartphone,Valencia,15000,2,7500
2024-01-10,Cable USB,Madrid,500,25,20
2024-01-11,Disco Duro,Barcelona,6000,3,2000
2024-01-12,Memoria RAM,Valencia,3200,8,400
2024-01-13,Placa Base,Madrid,8000,2,4000
2024-01-14,Procesador,Barcelona,12000,2,6000
2024-01-15,Tarjeta Gráfica,Valencia,18000,2,9000
2024-01-16,SSD,Madrid,4000,4,1000
2024-01-17,Fuente de Poder,Barcelona,3000,3,1000
2024-01-18,Gabinete,Valencia,2000,2,1000
2024-01-19,Ventilador,Madrid,600,6,100
2024-01-20,Pasta Térmica,Barcelona,200,10,20
